;;; ONCOPROD RS ;; ONCOPROD PE ;;ONCOPROD SP;;;;;;;;ONCOPROD DF;;;;;;; ONCOPROD ES  ;;
C�D;CLASSIFICA��O FISCAL;ORIGEM;  ICMS 17% ;  ICMS 18% ;  ICMS 17% ;  ICMS 18% ; ICMS 12%; ICMS 17%;CLIENTES GO; ICMS 17,5%; ICMS 18%; CLIENTES SP; CLIENTES SPI; ICMS 20% ; ICMS 12%;   ICMS 17% ;   CLIENTES DF ;   ICMS 17,5% ;   ICMS 18% ;  CLIENTES SPI ; ICMS 20% ; ICMS 12%;ICMS 17%;ICMS 18%
354;ISENTO;NACIONAL;146,52;146,52;146,52;146,52;0;146,52;155,3112;146,52;146,52;0;0;146,52;0;0;146,52;0;146,52;146,52;0;0;146,52;146,52
355;ISENTO;NACIONAL;586,08;586,08;586,08;586,08;0;586,08;621,2448;586,08;586,08;0;0;586,08;0;0;586,08;0;586,08;586,08;0;0;586,08;586,08
359;ISENTO;IMPORTADO;191,4336547;191,4336547;191,4336547;191,4336547;0;191,4336547;218,2343664;191,4336547;191,4336547;0;0;191,4336547;0;0;191,4336547;0;191,4336547;191,4336547;0;0;191,4336547;191,4336547
360;ISENTO;IMPORTADO;391,1380704;391,1380704;391,1380704;391,1380704;0;391,1380704;445,8974003;391,1380704;391,1380704;0;0;391,1380704;0;0;391,1380704;0;391,1380704;391,1380704;0;0;391,1380704;391,1380704
361;TRIBUTADO;IMPORTADO;470,88;477;0;439,7;0;470,87;0;473,9;476,98;0;0;489,7;0;473,91;410,58;0;505,41;505,41;0;0;470,87;0
365;TRIBUTADO;IMPORTADO;9,9;10,02;0;10,02;0;9,9;0;9,96;10,02;0;0;10,28;0;9,9;9,9;0;10,02;10,02;0;0;9,9;0
372;ISENTO;NACIONAL;384,08;384,08;384,08;384,08;384,08;384,08;429,26;384,08;384,08;0;0;384,08;0;0;384,08;0;384,08;384,08;0;384,08;384,08;384,08
380;TRIBUTADO;NACIONAL;11886,94;12031,9;0;12031,9;0;0;0;0;0;0;0;0;0;11886,94;11886,94;11958,98;12031,9;12031,9;12332,7;0;11886,94;0
381;ISENTO;NACIONAL;25,67;25,67;25,67;25,67;0;25,67;27,4;25,67;25,67;0;0;25,67;0;0;25,67;0;25,67;25,67;0;0;25,67;25,67
382;ISENTO;NACIONAL;80,73;80,73;80,73;80,73;0;80,73;86,18;80,73;80,73;0;0;80,73;0;0;80,73;0;80,73;80,73;0;0;80,73;80,73
383;ISENTO;NACIONAL;551,76;551,76;551,76;551,76;551,76;551,76;588,95;551,76;551,76;0;0;551,76;0;0;551,76;0;551,76;551,76;0;551,76;551,76;551,76
384;ISENTO;IMPORTADO;2153,16;2153,16;2153,16;2153,16;0;2153,16;2454,6024;2153,16;2153,16;0;0;2153,16;0;0;2153,16;0;2153,16;2153,16;0;0;2153,16;2153,16
397;TRIBUTADO;NACIONAL;90,24;91,34;0;91,34;0;0;0;0;0;0;0;0;0;90,24;90,24;90,79;91,34;91,34;93,63;0;90,24;0
398;TRIBUTADO;NACIONAL;271,93;275,24;0;275,24;0;0;0;0;0;0;0;0;0;271,93;271,93;273,58;275,24;275,24;282,13;0;271,93;0
405;ISENTO;NACIONAL;306,93;306,93;306,93;306,93;0;306,93;306,93;306,93;306,93;0;0;306,93;0;0;306,93;0;306,93;306,93;0;0;306,93;306,93
408;TRIBUTADO;NACIONAL;174,17;176,43;0;175,11;0;0;0;0;0;0;0;0;0;168,07;159,87;169,16;170,26;170,26;174,8;0;181,68;0
411;TRIBUTADO;NACIONAL;558,18;565,43;0;561,2;0;0;0;0;0;0;0;0;0;538,64;512,36;542,11;545,63;545,63;560,18;0;582,25;0
412;TRIBUTADO;NACIONAL;0;0;0;1588,62;0;0;0;0;0;0;0;0;0;1524,77;0;1534,61;1544,57;1544,57;0;0;0;0
413;TRIBUTADO;NACIONAL;0;0;0;968,64;0;0;0;0;0;0;0;0;0;929,72;0;935,71;941,79;941,79;0;0;0;0
415;TRIBUTADO;NACIONAL;196,21;198,72;0;205,46;0;0;0;0;0;0;0;0;0;196,21;188,58;179,49;189,78;189,78;191;0;196,02;0
424;TRIBUTADO;NACIONAL;309,05;313,01;0;297,42;0;0;0;0;0;0;0;0;0;315,21;269,64;317,44;319,71;319,71;329,11;0;309,04;0
429;TRIBUTADO;IMPORTADO;78,94;79,9;0;79,9;0;78,94;0;79,42;79,9;0;0;81,9;0;80,32;78,94;0;85,34;85,34;0;0;78,94;0
433;TRIBUTADO;NACIONAL;233,92;236,96;0;239,03;0;0;0;0;0;0;0;0;0;221,62;208,12;235,45;224,54;224,54;230,61;0;233,84;0
434;ISENTO;IMPORTADO;0;0;3863,58;3863,58;0;3863,58;4531,36;3863,58;3863,58;0;0;3863,58;0;0;0;0;3863,58;3863,58;0;0;0;3863,58
453;ISENTO;IMPORTADO;2230,13;2230,13;2230,13;2230,13;0;2230,13;0;2230,13;2230,13;0;0;2230,13;0;0;2230,13;0;2230,13;2230,13;0;0;2230,13;2230,13
457;TRIBUTADO;IMPORTADO;18,69;18,91;0;18,91;0;18,69;0;18,8;18,91;0;0;19,39;0;18,69;18,69;0;18,91;18,91;0;0;18,69;0
468;TRIBUTADO;IMPORTADO;232,76;235,74;0;213,15;0;232,76;0;234,23;235,73;0;0;241,93;0;234,23;203,07;0;249,78;249,78;0;0;232,75;0
486;TRIBUTADO;NACIONAL;1975,615;1975,615;0;1975,615;0;0;0;0;0;0;0;0;0;1975,615;1975,615;1975,615;1975,615;1975,615;1975,615;0;1975,615;0
489;TRIBUTADO;IMPORTADO;190,72;193,05;0;193,05;0;190,72;0;191,88;193,05;0;0;197,88;0;190,72;190,72;0;193,05;193,05;0;0;190,72;0
506;ISENTO;NACIONAL;94,88616152;94,88616152;94,88616152;94,88616152;0;94,88616152;100,5793312;94,88616152;94,88616152;0;0;94,88616152;0;0;94,88616152;0;94,88616152;94,88616152;0;0;94,88616152;94,88616152
507;ISENTO;NACIONAL;346,6393662;346,6393662;346,6393662;346,6393662;0;346,6393662;367,4377282;346,6393662;346,6393662;0;0;346,6393662;0;0;346,6393662;0;346,6393662;346,6393662;0;0;346,6393662;346,6393662
508;TRIBUTADO;IMPORTADO;248,2;251,23;0;251,23;0;248,2;0;249,7;251,23;0;0;257,51;0;248,2;248,2;0;251,23;251,23;0;0;248,2;0
513;ISENTO;NACIONAL;11638,46;11638,46;11638,46;11638,46;0;11638,46;11638,46;11638,46;11638,46;0;0;11638,46;0;0;11638,46;0;11638,46;11638,46;0;0;11638,46;11638,46
514;ISENTO;NACIONAL;5819,22;5819,22;5819,22;5819,22;0;5819,22;6207,17;5819,22;5819,22;0;0;5819,22;0;0;5819,22;0;5819,22;5819,22;0;0;5819,22;5819,22
515;TRIBUTADO;IMPORTADO;43,94;44,52;0;40,93;0;43,93;0;44,22;44,51;0;0;45,72;0;46,67;37,59;0;49,79;49,79;0;0;43,93;0
519;ISENTO;NACIONAL;180,11;180,11;180,11;180,11;0;180,11;180,11;180,11;180,11;0;0;180,11;0;0;180,11;0;180,11;180,11;0;0;180,11;180,11
522;TRIBUTADO;IMPORTADO;345,08;349,5;0;322,96;0;345,07;0;347,26;349,49;0;0;358,69;0;338,47;301,07;0;360,94;360,94;0;0;345,07;0
523;TRIBUTADO;IMPORTADO;610,7;618,52;0;612,97;0;610,7;0;614,59;618,53;0;0;634,81;0;645,49;527,48;0;688,33;688,33;0;0;634,51;0
527;TRIBUTADO;IMPORTADO;136,62;138,52;0;126,03;0;136,62;0;137,56;138,52;0;0;142,48;0;137,56;118,73;0;146,24;146,24;0;0;136,62;0
528;TRIBUTADO;IMPORTADO;264,7;267,93;0;267,93;0;264,7;0;266,3;267,93;0;0;274,63;0;264,7;264,7;0;267,93;267,93;0;0;264,7;0
529;TRIBUTADO;IMPORTADO;480,18;486,03;0;486,03;0;480,18;0;483,09;486,03;0;0;498,18;0;480,18;480,18;0;486,03;486,03;0;0;480,18;0
534;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;1286,88;1224,86;1295,08;1303,38;1303,38;1337,68;0;1399,46;0
535;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;1930,35;1837,32;1942,64;1955,1;1955,1;2006,55;0;2099,23;0
536;TRIBUTADO;NACIONAL;0;0;0;0;0;0;0;0;0;0;0;0;0;2573,8;2449,76;2590,19;2606,79;2606,79;2675,39;0;2798,97;0
541;TRIBUTADO;IMPORTADO;480,8;486,96;0;449,98;0;480,79;0;483,85;486,95;0;0;499,77;0;483,86;419,49;0;515,97;515,97;0;0;480,8;0
