CODIGO_INTERNO;             ;             FAB;             VALIDADE      ;             ESTOQUE     
743          ;31223913                      ;250522    ;250524    ;6         
743          ;31223914                      ;260522    ;260524    ;444       
743          ;31223915                      ;260522    ;260524    ;408       
743          ;31223925                      ;020622    ;300624    ;36        
773          ;B22C1604                      ;160322    ;300325    ;7620      
773          ;B22C1605                      ;160322    ;300325    ;840       
774          ;1068764                       ;040921    ;300923    ;1509      
774          ;1069299                       ;071021    ;301023    ;5478      
903          ;M110639                       ;280821    ;300723    ;6959      
903          ;M113605                       ;301121    ;301023    ;15000     
965          ;2115214                       ;181121    ;301123    ;5460      
965          ;2115216                       ;231121    ;301123    ;5446      
965          ;2116238                       ;261121    ;301123    ;5423      
965          ;2116239                       ;261121    ;301123    ;3065      
965          ;2116240                       ;261121    ;301123    ;5472      
965          ;2116243                       ;021221    ;301223    ;10772     
965          ;2116244                       ;021221    ;301223    ;59        
983          ;O22149                        ;160722    ;300724    ;126       
1033         ;2104693                       ;050421    ;300423    ;26        
1033         ;2116349                       ;011221    ;301223    ;326       
1033         ;2116350                       ;011221    ;301223    ;1068      
1096         ;07642129                      ;090522    ;300524    ;14758     
1096         ;07642158                      ;090522    ;300524    ;28850     
1198         ;2107226                       ;010621    ;300623    ;319       
1300         ;0015399                       ;280722    ;300724    ;34        
1308         ;21010585                      ;010121    ;300123    ;172       
1308         ;21020335                      ;010221    ;280223    ;878       
1310         ;0009974                       ;111121    ;301123    ;8         
1344         ;22A733                        ;050122    ;300124    ;140       
1344         ;22A734                        ;050122    ;300124    ;83        
1344         ;22C3C1                        ;230322    ;300324    ;133       
1344         ;22C3C7                        ;290322    ;300324    ;138       
1344         ;22C4C1                        ;290322    ;300324    ;115       
1344         ;22C4C2                        ;290322    ;300324    ;142       
1344         ;22C90U                        ;230322    ;300324    ;97        
1344         ;22C97X                        ;230322    ;300324    ;54        
1344         ;22D191                        ;290322    ;300324    ;120       
1344         ;22D192                        ;290322    ;300324    ;143       
1344         ;22E25L                        ;110522    ;300524    ;130       
1344         ;22E43B                        ;040522    ;300524    ;139       
1344         ;22E44B                        ;040522    ;300524    ;143       
1344         ;22E45B                        ;040522    ;300524    ;139       
1344         ;22E46B                        ;040522    ;300524    ;26        
1344         ;22E496                        ;020522    ;300524    ;125       
1344         ;22E564                        ;020522    ;300524    ;75        
1344         ;22E692                        ;020522    ;300524    ;12        
1344         ;22E72I                        ;090522    ;300524    ;141       
1344         ;22E73I                        ;090522    ;300524    ;141       
